"STATISTIC","Statistic","TLIST(A1)","Year","C02039V02469","Type of Crop","UNIT","VALUE"
"AQA04C2","Crop Yield per Hectare","2010","2010","0112","Spring wheat","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2010","2010","012","Total oats","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","0121","Winter oats","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2010","2010","0122","Spring oats","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2010","2010","013","Total barley","Tonnes","7"
"AQA04C2","Crop Yield per Hectare","2010","2010","0131","Winter barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","0132","Spring barley","Tonnes","6.7"
"AQA04C2","Crop Yield per Hectare","2010","2010","02","Beans and peas","Tonnes","5.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","03","Oilseed rape","Tonnes","3.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","04","Potatoes","Tonnes","34.4"
"AQA04C2","Crop Yield per Hectare","2011","2011","01","Total wheat, oats and barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","011","Total wheat","Tonnes","9.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","0111","Winter wheat","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2011","2011","0112","Spring wheat","Tonnes","8.3"
"AQA04C2","Crop Yield per Hectare","2011","2011","012","Total oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","0121","Winter oats","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2011","2011","0122","Spring oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","013","Total barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2011","2011","0131","Winter barley","Tonnes","9.1"
"AQA04C2","Crop Yield per Hectare","2011","2011","0132","Spring barley","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","02","Beans and peas","Tonnes","5.7"
