Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2016,11,67.9,9.5,647.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,111,60.4,9.7,587.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,112,7.5,8.0,60.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,12,23.2,7.9,183.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,121,13.2,8.3,110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,122,10.0,7.3,73.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,13,189.2,7.8,1479.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,131,74.6,8.6,644.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016,132,114.6,7.3,835.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,2,12.5,5.7,70.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,9.9,3.5,34.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,9.0,38.9,352.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,271.7,8.8,2392.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017,11,67.0,10.2,681.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,111,60.3,10.4,626.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,112,6.8,8.2,55.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,12,24.4,8.4,205.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,121,14.4,8.9,128.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,122,10.0,7.6,76.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,13,180.2,8.4,1505.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,131,65.0,9.1,592.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,132,115.2,7.9,913.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,2,13.7,6.6,90.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,10.1,4.1,41.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,9.2,44.9,412.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,261.0,7.1,1853.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
